iter	Passed	Remaining
239	1478	4682
240	1483	4671
241	1488	4661
242	1492	4649
243	1495	4634
244	1501	4628
245	1506	4618
246	1510	4603
247	1515	4595
248	1520	4585
249	1523	4571
250	1527	4557
251	1533	4551
252	1536	4537
253	1540	4524
254	1544	4512
255	1554	4517
256	1558	4504
257	1563	4496
258	1567	4484
259	1571	4471
260	1574	4457
261	1579	4447
262	1583	4438
263	1587	4424
264	1590	4411
265	1595	4401
266	1599	4391
267	1605	4386
268	1611	4379
269	1616	4370
270	1620	4359
271	1624	4349
272	1629	4338
273	1633	4327
274	1636	4314
275	1640	4302
276	1647	4299
277	1650	4286
278	1653	4274
279	1658	4265
280	1662	4254
281	1666	4242
282	1670	4231
283	1674	4222
284	1678	4210
285	1680	4194
286	1683	4183
287	1687	4172
288	1692	4164
289	1696	4154
290	1700	4142
291	1703	4131
292	1709	4124
293	1713	4114
294	1716	4102
295	1721	4093
296	1733	4103
297	1746	4113
298	1752	4108
299	1760	4106
300	1769	4108
301	1774	4101
302	1781	4097
303	1785	4088
304	1790	4079
305	1794	4069
306	1799	4061
307	1802	4050
308	1805	4037
309	1808	4025
310	1813	4016
311	1816	4006
312	1820	3995
313	1823	3984
314	1829	3977
315	1832	3966
316	1837	3958
317	1840	3947
318	1845	3940
319	1849	3930
320	1853	3920
321	1856	3909
322	1878	3938
323	1883	3929
324	1887	3920
325	1891	3910
326	1901	3913
327	1904	3902
328	1910	3895
329	1914	3886
330	1918	3876
331	1921	3866
332	1925	3857
333	1929	3846
334	1932	3835
335	1935	3824
336	1938	3813
337	1942	3804
338	1947	3797
339	1951	3788
340	1956	3781
341	1960	3772
342	1964	3763
343	1968	3754
344	1972	3745
345	1974	3732
346	1978	3722
347	1981	3712
348	1985	3703
349	1989	3694
350	1992	3684
351	1996	3674
352	1999	3664
353	2002	3654
354	2006	3645
355	2010	3636
356	2013	3626
357	2016	3616
358	2038	3638
359	2043	3632
360	2048	3625
361	2052	3616
362	2056	3609
363	2060	3600
364	2064	3591
365	2067	3582
366	2071	3573
367	2076	3566
368	2086	3568
369	2093	3564
370	2099	3559
371	2106	3556
372	2112	3550
373	2117	3543
374	2121	3536
375	2126	3528
376	2131	3521
377	2136	3516
378	2141	3508
379	2147	3503
380	2153	3498
381	2158	3491
382	2163	3485
383	2170	3481
384	2174	3474
385	2178	3465
386	2182	3457
387	2188	3452
388	2193	3445
389	2197	3437
390	2202	3429
391	2207	3424
392	2212	3417
393	2217	3409
394	2221	3402
395	2224	3393
396	2228	3384
397	2232	3376
398	2235	3367
399	2239	3358
400	2242	3349
401	2245	3340
402	2249	3332
403	2253	3324
404	2256	3315
405	2260	3306
406	2264	3298
407	2267	3290
408	2270	3281
409	2273	3272
410	2277	3264
411	2281	3256
412	2285	3248
413	2289	3240
414	2293	3232
415	2297	3225
416	2302	3218
417	2305	3210
418	2309	3201
